Site;ASV;Node_Category;Eigen_Centrality;Degree_Centrality;Betweenness_Centrality;Membership
Pta_Choros;ASV1403;Core;4,11E-10;1;0;1
Pta_Choros;ASV1411;Core;1,49E-06;3;1265;1
Pta_Choros;ASV1412;Core;4,32E-18;1;0;49
Pta_Choros;ASV1506;Core;2,04E-11;4;3789;18
Pta_Choros;ASV1593;Core;1,65E-08;8;0,333333333;1
Pta_Choros;ASV1742;Core;1,07E-09;1;0;1
Pta_Choros;ASV2590;Core;5,34E-05;14;4978,623862;1
Quintero;ASV0001;Core;0,000161691;24;6646,74795;1
Quintero;ASV0003;Core;8,92E-05;24;3061,065292;1
Quintero;ASV0006;Core;8,92E-05;24;3061,065292;1
Quintero;ASV0008;Core;8,91E-05;22;1915,92197;1
Quintero;ASV0013;Core;0,000292302;34;48383,10018;1
Quintero;ASV0016;Core;3,06E-05;33;7838,562105;1
Quintero;ASV0017;Core;2,30E-05;32;6959,70605;1
Quintero;ASV0021;Core;7,46E-06;15;10,97348093;1
Quintero;ASV0023;Core;3,07E-05;49;25986,17276;1
Quintero;ASV0025;Core;4,80E-19;2;0;30
Quintero;ASV0029;Core;1,05E-05;18;31,83334791;1
Quintero;ASV0030;Core;0,00066767;25;13232,11363;1
Quintero;ASV0032;Core;1,60E-08;2;0;1
Quintero;ASV0034;Core;3,95E-06;12;6,693405255;1
Quintero;ASV0035;Core;0,000103241;49;65445,05988;1
Quintero;ASV0036;Core;8,34E-05;24;2912,025288;1
Quintero;ASV0037;Core;9,79E-19;2;0;30
Quintero;ASV0038;Core;3,06E-05;49;20166,05793;1
Quintero;ASV0039;Core;0;2;0;30
Quintero;ASV0040;Core;9,12E-07;3;898;1
Quintero;ASV0042;Core;6,22E-09;3;0;24
Quintero;ASV0043;Core;9,12E-07;3;898;1
Quintero;ASV0045;Core;0,000443109;11;12,49351237;1
Quintero;ASV0048;Core;3,84E-08;22;83,09820451;1
Quintero;ASV0050;Core;7,75E-05;20;1628,191035;1
Quintero;ASV0053;Core;7,75E-05;20;1628,191035;1
Quintero;ASV0056;Core;1,63E-07;20;2231,45508;1
Quintero;ASV0063;Core;2,72E-07;4;0;1
Quintero;ASV0064;Core;3,29E-08;19;52,10956853;1
Quintero;ASV0071;Core;6,52E-19;1;0;55
Quintero;ASV0072;Core;1,39E-07;33;2356,481979;1
Quintero;ASV0073;Core;8,13E-08;27;655,6798768;1
Quintero;ASV0077;Core;2,26E-18;2;0;29
Quintero;ASV0081;Core;1,12E-18;1;0;55
Quintero;ASV0083;Core;1,04E-07;27;649,3273997;1
Quintero;ASV0085;Core;4,92E-08;24;267,8928677;1
Quintero;ASV0086;Core;1,42E-19;1;0;51
Quintero;ASV0097;Core;4,72E-06;11;324,4327236;1
Quintero;ASV0101;Core;1,53E-06;17;10824,48052;1
Quintero;ASV0102;Core;4,38E-08;25;504,947387;1
Quintero;ASV0104;Core;1,74E-06;32;6716,335805;1
Quintero;ASV0107;Core;2,26E-05;10;1236,591429;1
Quintero;ASV0118;Core;4,66E-08;25;1620,813985;1
Quintero;ASV0120;Core;5,09E-19;2;0;29
